index_source,id_source,title_source,authors_source,authors_pub,title_pub,titleMatch,url_source,cited_by_source,id_target,title,authors,totalCitations,url,authoerOverlaps,selfcitations
10,14922012015215514771,Reconstituted postsynaptic density as a molecular platform for understanding synapse formation and plasticity,"M Zeng, X Chen, D Guan, J Xu, H Wu, P Tong…","M ZENG,X CHEN,D GUAN,J XU,H WU,P TONG,M ZHANG",Reconstituted Postsynaptic Density as a Molecular Platform for Understanding Synapse Formation and Plasticity.,High,https://www.sciencedirect.com/science/article/pii/S009286741830850X,159.0,7601154960238900186,Phase transition in postsynaptic densities underlies formation of synaptic complexes and synaptic plasticity,"M Zeng, Y Shang, Y Araki, T Guo, RL Huganir, M Zhang",264,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7601154960238900186,2,1
11,8783719798375894721,Who's in and who's out—compositional control of biomolecular condensates,"JA Ditlev, LB Case, MK Rosen","JA DITLEV,LB CASE,MK ROSEN",Who's In and Who's Out-Compositional Control of Biomolecular Condensates.,High,https://www.sciencedirect.com/science/article/pii/S0022283618309112,147.0,7601154960238900186,Phase transition in postsynaptic densities underlies formation of synaptic complexes and synaptic plasticity,"M Zeng, Y Shang, Y Araki, T Guo, RL Huganir, M Zhang",264,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7601154960238900186,0,-1
12,10078598276769547013,Synaptic nanomodules underlie the organization and plasticity of spine synapses,"M Hruska, N Henderson, SJ Le Marchand, H Jafri…","M HRUSKA,N HENDERSON,SJ LE MARCHAND,H JAFRI,MB DALVA",Synaptic nanomodules underlie the organization and plasticity of spine synapses.,High,https://www.nature.com/articles/s41593-018-0138-9,131.0,7601154960238900186,Phase transition in postsynaptic densities underlies formation of synaptic complexes and synaptic plasticity,"M Zeng, Y Shang, Y Araki, T Guo, RL Huganir, M Zhang",264,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7601154960238900186,0,0
13,2281246655446371337,Phosphoregulated FMRP phase separation models activity-dependent translation through bidirectional control of mRNA granule formation,"B Tsang, J Arsenault, RM Vernon…","B TSANG,J ARSENAULT,RM VERNON,H LIN,N SONENBERG,LY WANG,A BAH,JD FORMAN-KAY",Phosphoregulated FMRP phase separation models activity-dependent translation through bidirectional control of mRNA granule formation.,High,https://www.pnas.org/content/116/10/4218.short,133.0,7601154960238900186,Phase transition in postsynaptic densities underlies formation of synaptic complexes and synaptic plasticity,"M Zeng, Y Shang, Y Araki, T Guo, RL Huganir, M Zhang",264,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7601154960238900186,0,0
14,14681333917779263288,The wisdom of crowds: regulating cell function through condensed states of living matter,S Alberti,S ALBERTI,The wisdom of crowds: regulating cell function through condensed states of living matter.,High,https://journals.biologists.com/jcs/article-abstract/130/17/2789/56420,115.0,7601154960238900186,Phase transition in postsynaptic densities underlies formation of synaptic complexes and synaptic plasticity,"M Zeng, Y Shang, Y Araki, T Guo, RL Huganir, M Zhang",264,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7601154960238900186,0,-1
15,4762778481842185389,Phase separation and single-chain compactness of charged disordered proteins are strongly correlated,"YH Lin, HS Chan","YH LIN,HS CHAN",Phase Separation and Single-Chain Compactness of Charged Disordered Proteins Are Strongly Correlated.,High,https://www.sciencedirect.com/science/article/pii/S000634951730437X,113.0,7601154960238900186,Phase transition in postsynaptic densities underlies formation of synaptic complexes and synaptic plasticity,"M Zeng, Y Shang, Y Araki, T Guo, RL Huganir, M Zhang",264,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7601154960238900186,0,-1
16,1058052564845080706,Phase separation of zonula occludens proteins drives formation of tight junctions,"O Beutel, R Maraspini, K Pombo-Garcia…","O BEUTEL,R MARASPINI,K POMBO-GARCÍA,C MARTIN-LEMAITRE,A HONIGMANN",Phase Separation of Zonula Occludens Proteins Drives Formation of Tight Junctions.,High,https://www.sciencedirect.com/science/article/pii/S0092867419311274,122.0,7601154960238900186,Phase transition in postsynaptic densities underlies formation of synaptic complexes and synaptic plasticity,"M Zeng, Y Shang, Y Araki, T Guo, RL Huganir, M Zhang",264,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7601154960238900186,0,0
17,9453429773624475047,Differentiation and characterization of excitatory and inhibitory synapses by cryo-electron tomography and correlative microscopy,"CL Tao, YT Liu, R Sun, B Zhang, L Qi…","CL TAO,YT LIU,R SUN,B ZHANG,L QI,S SHIVAKOTI,CL TIAN,P ZHANG,PM LAU,ZH ZHOU,GQ BI",Differentiation and Characterization of Excitatory and Inhibitory Synapses by Cryo-electron Tomography and Correlative Microscopy.,High,https://www.jneurosci.org/content/38/6/1493.abstract,104.0,7601154960238900186,Phase transition in postsynaptic densities underlies formation of synaptic complexes and synaptic plasticity,"M Zeng, Y Shang, Y Araki, T Guo, RL Huganir, M Zhang",264,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7601154960238900186,0,0
18,13713010831608411479,Supramolecular organization of NMDA receptors and the postsynaptic density,"RAW Frank, SGN Grant","RA FRANK,SG GRANT",Supramolecular organization of NMDA receptors and the postsynaptic density.,High,https://www.sciencedirect.com/science/article/pii/S095943881730082X,87.0,7601154960238900186,Phase transition in postsynaptic densities underlies formation of synaptic complexes and synaptic plasticity,"M Zeng, Y Shang, Y Araki, T Guo, RL Huganir, M Zhang",264,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7601154960238900186,0,-1
19,2133208781723782050,"PARylation regulates stress granule dynamics, phase separation, and neurotoxicity of disease-related RNA-binding proteins","Y Duan, A Du, J Gu, G Duan, C Wang, X Gui, Z Ma…","Y DUAN,A DU,J GU,G DUAN,C WANG,X GUI,Z MA,B QIAN,X DENG,K ZHANG,L SUN,K TIAN,Y ZHANG,H JIANG,C LIU,Y FANG","PARylation regulates stress granule dynamics, phase separation, and neurotoxicity of disease-related RNA-binding proteins.",High,https://www.nature.com/articles/s41422-019-0141-z,102.0,7601154960238900186,Phase transition in postsynaptic densities underlies formation of synaptic complexes and synaptic plasticity,"M Zeng, Y Shang, Y Araki, T Guo, RL Huganir, M Zhang",264,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7601154960238900186,0,0
20,17422161544730430595,MAGUKs: multifaceted synaptic organizers,"S Won, JM Levy, RA Nicoll, KW Roche","S WON,JM LEVY,RA NICOLL,KW ROCHE",MAGUKs: multifaceted synaptic organizers.,High,https://www.sciencedirect.com/science/article/pii/S0959438817300508,84.0,7601154960238900186,Phase transition in postsynaptic densities underlies formation of synaptic complexes and synaptic plasticity,"M Zeng, Y Shang, Y Araki, T Guo, RL Huganir, M Zhang",264,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7601154960238900186,0,-1
21,11499238290805982838,RIM and RIM-BP form presynaptic active-zone-like condensates via phase separation,"X Wu, Q Cai, Z Shen, X Chen, M Zeng, S Du, M Zhang","X WU,Q CAI,Z SHEN,X CHEN,M ZENG,S DU,M ZHANG",RIM and RIM-BP Form Presynaptic Active-Zone-like Condensates via Phase Separation.,High,https://www.sciencedirect.com/science/article/pii/S1097276518310372,83.0,7601154960238900186,Phase transition in postsynaptic densities underlies formation of synaptic complexes and synaptic plasticity,"M Zeng, Y Shang, Y Araki, T Guo, RL Huganir, M Zhang",264,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7601154960238900186,2,1
22,15000403975745340033,Functional organization of postsynaptic glutamate receptors,"N Scheefhals, HD MacGillavry","N SCHEEFHALS,HD MACGILLAVRY",Functional organization of postsynaptic glutamate receptors.,High,https://www.sciencedirect.com/science/article/pii/S1044743117304050,89.0,7601154960238900186,Phase transition in postsynaptic densities underlies formation of synaptic complexes and synaptic plasticity,"M Zeng, Y Shang, Y Araki, T Guo, RL Huganir, M Zhang",264,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7601154960238900186,0,-1
23,1045917828968150117,Physico-pathologic mechanisms involved in neurodegeneration: misfolded protein-plasma membrane interactions,"AN Shrivastava, A Aperia, R Melki, A Triller","AN SHRIVASTAVA,A APERIA,R MELKI,A TRILLER",Physico-Pathologic Mechanisms Involved in Neurodegeneration: Misfolded Protein-Plasma Membrane Interactions.,High,https://www.sciencedirect.com/science/article/pii/S0896627317304646,74.0,7601154960238900186,Phase transition in postsynaptic densities underlies formation of synaptic complexes and synaptic plasticity,"M Zeng, Y Shang, Y Araki, T Guo, RL Huganir, M Zhang",264,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7601154960238900186,0,-1
24,5049090338698900558,Regulation of transmembrane signaling by phase separation,"LB Case, JA Ditlev, MK Rosen","LB CASE,JA DITLEV,MK ROSEN",Regulation of Transmembrane Signaling by Phase Separation.,High,https://www.annualreviews.org/doi/abs/10.1146/annurev-biophys-052118-115534,93.0,7601154960238900186,Phase transition in postsynaptic densities underlies formation of synaptic complexes and synaptic plasticity,"M Zeng, Y Shang, Y Araki, T Guo, RL Huganir, M Zhang",264,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7601154960238900186,0,-1
25,14965538459862330699,Mechanosensation of tight junctions depends on ZO-1 phase separation and flow,"C Schwayer, S Shamipour, K Pranjic-Ferscha…","C SCHWAYER,S SHAMIPOUR,K PRANJIC-FERSCHA,A SCHAUER,M BALDA,M TADA,K MATTER,CP HEISENBERG",Mechanosensation of Tight Junctions Depends on ZO-1 Phase Separation and Flow.,High,https://www.sciencedirect.com/science/article/pii/S0092867419311225,82.0,7601154960238900186,Phase transition in postsynaptic densities underlies formation of synaptic complexes and synaptic plasticity,"M Zeng, Y Shang, Y Araki, T Guo, RL Huganir, M Zhang",264,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7601154960238900186,0,0
26,9630336220572633719,Quantifying dynamics in phase-separated condensates using fluorescence recovery after photobleaching,"NO Taylor, MT Wei, HA Stone, CP Brangwynne","NO TAYLOR,MT WEI,HA STONE,CP BRANGWYNNE",Quantifying Dynamics in Phase-Separated Condensates Using Fluorescence Recovery after Photobleaching.,High,https://www.sciencedirect.com/science/article/pii/S0006349519307477,82.0,7601154960238900186,Phase transition in postsynaptic densities underlies formation of synaptic complexes and synaptic plasticity,"M Zeng, Y Shang, Y Araki, T Guo, RL Huganir, M Zhang",264,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7601154960238900186,0,-1
27,17129156066353366107,"Formation of biological condensates via phase separation: Characteristics, analytical methods, and physiological implications","Z Feng, X Chen, X Wu, M Zhang","Z FENG,X CHEN,X WU,M ZHANG","Formation of biological condensates via phase separation: Characteristics, analytical methods, and physiological implications.",High,https://www.jbc.org/article/S0021-9258(20)35029-8/abstract,76.0,7601154960238900186,Phase transition in postsynaptic densities underlies formation of synaptic complexes and synaptic plasticity,"M Zeng, Y Shang, Y Araki, T Guo, RL Huganir, M Zhang",264,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7601154960238900186,1,1
28,9440653888623400605,Phase separation of TAZ compartmentalizes the transcription machinery to promote gene expression,"Y Lu, T Wu, O Gutman, H Lu, Q Zhou, YI Henis…","Y LU,T WU,O GUTMAN,H LU,Q ZHOU,YI HENIS,K LUO",Phase separation of TAZ compartmentalizes the transcription machinery to promote gene expression.,High,https://www.nature.com/articles/s41556-020-0485-0,86.0,7601154960238900186,Phase transition in postsynaptic densities underlies formation of synaptic complexes and synaptic plasticity,"M Zeng, Y Shang, Y Araki, T Guo, RL Huganir, M Zhang",264,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7601154960238900186,0,0
29,2555626227102374057,Coarse-grained residue-based models of disordered protein condensates: utility and limitations of simple charge pattern parameters,"S Das, AN Amin, YH Lin, HS Chan","S DAS,AN AMIN,YH LIN,HS CHAN",Coarse-grained residue-based models of disordered protein condensates: utility and limitations of simple charge pattern parameters.,High,https://pubs.rsc.org/en/content/articlehtml/2018/cp/c8cp05095c,61.0,7601154960238900186,Phase transition in postsynaptic densities underlies formation of synaptic complexes and synaptic plasticity,"M Zeng, Y Shang, Y Araki, T Guo, RL Huganir, M Zhang",264,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7601154960238900186,0,-1
30,97376704583038540,Charge pattern matching as a 'fuzzy'mode of molecular recognition for the functional phase separations of intrinsically disordered proteins,"Yi-Hsuan Lin, Jacob P Brady, Julie D Forman-Kay, Hue Sun Chan","Yi-Hsuan Lin, Jacob P Brady, Julie D Forman-Kay, Hue Sun Chan",,None,https://iopscience.iop.org/article/10.1088/1367-2630/aa9369/meta,63.0,7601154960238900186,Phase transition in postsynaptic densities underlies formation of synaptic complexes and synaptic plasticity,"M Zeng, Y Shang, Y Araki, T Guo, RL Huganir, M Zhang",264,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7601154960238900186,0,-1
31,12636425205556851750,Synaptic vesicle clusters at synapses: a distinct liquid phase?,"D Milovanovic, P De Camilli","D Milovanovic, P De Camilli",,High,https://www.sciencedirect.com/science/article/pii/S0896627317300971,55.0,7601154960238900186,Phase transition in postsynaptic densities underlies formation of synaptic complexes and synaptic plasticity,"M Zeng, Y Shang, Y Araki, T Guo, RL Huganir, M Zhang",264,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7601154960238900186,0,-1
32,8461440474667390308,The protein complex crystallography beamline (BL19U1) at the Shanghai Synchrotron Radiation Facility,"Wei-Zhe Zhang, Jian-Chao Tang, Si-Sheng Wang, Zhi-Jun Wang, Wen-Ming Qin, Jian-Hua He",,,None,https://link.springer.com/article/10.1007/s41365-019-0683-2,65.0,7601154960238900186,Phase transition in postsynaptic densities underlies formation of synaptic complexes and synaptic plasticity,"M Zeng, Y Shang, Y Araki, T Guo, RL Huganir, M Zhang",264,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7601154960238900186,0,-1
33,1194323211015626488,Phase separation at the synapse,"X Chen, X Wu, H Wu, M Zhang",,,None,https://www.nature.com/articles/s41593-019-0579-9,60.0,7601154960238900186,Phase transition in postsynaptic densities underlies formation of synaptic complexes and synaptic plasticity,"M Zeng, Y Shang, Y Araki, T Guo, RL Huganir, M Zhang",264,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7601154960238900186,1,1
34,10535367724002481602,Differential nanoscale topography and functional role of GluN2-NMDA receptor subtypes at glutamatergic synapses,"B Kellermayer, JS Ferreira, J Dupuis, F Levet…","B KELLERMAYER,JS FERREIRA,J DUPUIS,F LEVET,D GRILLO-BOSCH,L BARD,J LINARÈS-LOYEZ,D BOUCHET,D CHOQUET,DA RUSAKOV,P BON,JB SIBARITA,L COGNET,M SAINLOS,AL CARVALHO,L GROC",Differential Nanoscale Topography and Functional Role of GluN2-NMDA Receptor Subtypes at Glutamatergic Synapses.,High,https://www.sciencedirect.com/science/article/pii/S0896627318307852,55.0,7601154960238900186,Phase transition in postsynaptic densities underlies formation of synaptic complexes and synaptic plasticity,"M Zeng, Y Shang, Y Araki, T Guo, RL Huganir, M Zhang",264,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7601154960238900186,0,0
35,15444550549880427982,3′ UTR length-dependent control of SynGAP isoform α2 mRNA by FUS and ELAV-like proteins promotes dendritic spine maturation and cognitive function,"S Yokoi, T Udagawa, Y Fujioka, D Honda, H Okado…","S YOKOI,T UDAGAWA,Y FUJIOKA,D HONDA,H OKADO,H WATANABE,M KATSUNO,S ISHIGAKI,G SOBUE",3'UTR Length-Dependent Control of SynGAP Isoform α2 mRNA by FUS and ELAV-like Proteins Promotes Dendritic Spine Maturation and Cognitive Function.,High,https://www.sciencedirect.com/science/article/pii/S2211124717312603,45.0,7601154960238900186,Phase transition in postsynaptic densities underlies formation of synaptic complexes and synaptic plasticity,"M Zeng, Y Shang, Y Araki, T Guo, RL Huganir, M Zhang",264,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7601154960238900186,0,0
36,15012039451235261747,Hierarchical organization and genetically separable subfamilies of PSD 95 postsynaptic supercomplexes,"RAW Frank, F Zhu, NH Komiyama…","RAW FRANK,F ZHU,NH KOMIYAMA,SGN GRANT",Hierarchical organization and genetically separable subfamilies of PSD95 postsynaptic supercomplexes.,High,https://onlinelibrary.wiley.com/doi/abs/10.1111/jnc.14056,43.0,7601154960238900186,Phase transition in postsynaptic densities underlies formation of synaptic complexes and synaptic plasticity,"M Zeng, Y Shang, Y Araki, T Guo, RL Huganir, M Zhang",264,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7601154960238900186,0,0
37,8796556845039587004,Phase separation-mediated TARP/MAGUK complex condensation and AMPA receptor synaptic transmission,"M Zeng, J Díaz-Alonso, F Ye, X Chen, J Xu, Z Ji…","M ZENG,J DÍAZ-ALONSO,F YE,X CHEN,J XU,Z JI,RA NICOLL,M ZHANG",Phase Separation-Mediated TARP/MAGUK Complex Condensation and AMPA Receptor Synaptic Transmission.,High,https://www.sciencedirect.com/science/article/pii/S0896627319306853,57.0,7601154960238900186,Phase transition in postsynaptic densities underlies formation of synaptic complexes and synaptic plasticity,"M Zeng, Y Shang, Y Araki, T Guo, RL Huganir, M Zhang",264,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7601154960238900186,2,1
38,7387046495787040481,Subsynaptic spatial organization as a regulator of synaptic strength and plasticity,"H Chen, AH Tang, TA Blanpied","H CHEN,AH TANG,TA BLANPIED",Subsynaptic spatial organization as a regulator of synaptic strength and plasticity.,High,https://www.sciencedirect.com/science/article/pii/S0959438818300369,45.0,7601154960238900186,Phase transition in postsynaptic densities underlies formation of synaptic complexes and synaptic plasticity,"M Zeng, Y Shang, Y Araki, T Guo, RL Huganir, M Zhang",264,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7601154960238900186,0,-1
39,13346144755811120222,"Phase separation, transition, and autophagic degradation of proteins in development and pathogenesis","Z Wang, H Zhang","Z WANG,H ZHANG","Phase Separation, Transition, and Autophagic Degradation of Proteins in Development and Pathogenesis.",High,https://www.sciencedirect.com/science/article/pii/S0962892419300194,50.0,7601154960238900186,Phase transition in postsynaptic densities underlies formation of synaptic complexes and synaptic plasticity,"M Zeng, Y Shang, Y Araki, T Guo, RL Huganir, M Zhang",264,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7601154960238900186,0,-1
40,1321620295703399913,The physiological and pathological biophysics of phase separation and gelation of RNA binding proteins in amyotrophic lateral sclerosis and fronto-temporal …,"P St George-Hyslop, JQ Lin, A Miyashita, EC Phillips…","P ST GEORGE-HYSLOP,JQ LIN,A MIYASHITA,EC PHILLIPS,S QAMAR,SJ RANDLE,G WANG",The physiological and pathological biophysics of phase separation and gelation of RNA binding proteins in amyotrophic lateral sclerosis and fronto-temporal lobar degeneration.,High,https://www.sciencedirect.com/science/article/pii/S0006899318302312,45.0,7601154960238900186,Phase transition in postsynaptic densities underlies formation of synaptic complexes and synaptic plasticity,"M Zeng, Y Shang, Y Araki, T Guo, RL Huganir, M Zhang",264,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7601154960238900186,0,0
41,2320197400895545211,Dynamic synthetic cells based on liquid–liquid phase separation,N Martin,N MARTIN,Dynamic Synthetic Cells Based on Liquid-Liquid Phase Separation.,High,https://hal.archives-ouvertes.fr/hal-02329547/document,54.0,7601154960238900186,Phase transition in postsynaptic densities underlies formation of synaptic complexes and synaptic plasticity,"M Zeng, Y Shang, Y Araki, T Guo, RL Huganir, M Zhang",264,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7601154960238900186,0,-1
42,12238408429348128410,Linking glutamate receptor movements and synapse function,"L Groc, D Choquet","L GROC,D CHOQUET",Linking glutamate receptor movements and synapse function.,High,https://science.sciencemag.org/content/368/6496/eaay4631.abstract,55.0,7601154960238900186,Phase transition in postsynaptic densities underlies formation of synaptic complexes and synaptic plasticity,"M Zeng, Y Shang, Y Araki, T Guo, RL Huganir, M Zhang",264,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7601154960238900186,0,-1
43,14975078606605955836,CPEB3 inhibits translation of mRNA targets by localizing them to P bodies,"L Ford, E Ling, ER Kandel…","L FORD,E LING,ER KANDEL,L FIORITI",CPEB3 inhibits translation of mRNA targets by localizing them to P bodies.,High,https://www.pnas.org/content/116/36/18078.short,45.0,7601154960238900186,Phase transition in postsynaptic densities underlies formation of synaptic complexes and synaptic plasticity,"M Zeng, Y Shang, Y Araki, T Guo, RL Huganir, M Zhang",264,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7601154960238900186,0,0
44,18051315371465076307,Species-conserved SYNGAP1 phenotypes associated with neurodevelopmental disorders,"M Kilinc, T Creson, C Rojas, M Aceti, J Ellegood…","M KILINC,T CRESON,C ROJAS,M ACETI,J ELLEGOOD,T VAISSIERE,JP LERCH,G RUMBAUGH",Species-conserved SYNGAP1 phenotypes associated with neurodevelopmental disorders.,High,https://www.sciencedirect.com/science/article/pii/S1044743118300307,43.0,7601154960238900186,Phase transition in postsynaptic densities underlies formation of synaptic complexes and synaptic plasticity,"M Zeng, Y Shang, Y Araki, T Guo, RL Huganir, M Zhang",264,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7601154960238900186,0,0
45,15758517167803240078,A framework for understanding the functions of biomolecular condensates across scales,"AS Lyon, WB Peeples, MK Rosen","AS LYON,WB PEEPLES,MK ROSEN",A framework for understanding the functions of biomolecular condensates across scales.,High,https://www.nature.com/articles/s41580-020-00303-z,89.0,7601154960238900186,Phase transition in postsynaptic densities underlies formation of synaptic complexes and synaptic plasticity,"M Zeng, Y Shang, Y Araki, T Guo, RL Huganir, M Zhang",264,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7601154960238900186,0,-1
