id_source,title_source_x,authors_source,url_source,cited_by_source,id_target,title,totalCitations,url,clusterid,authors,index_source,pubmed_id,title_pub,title_source_y,authors_pub,clusterid_google,titleMatch,authoerOverlaps,selfcitations
14922012015215514771,Reconstituted postsynaptic density as a molecular platform for understanding synapse formation and plasticity,"M Zeng, X Chen, D Guan, J Xu, H Wu, P Tong…",https://www.sciencedirect.com/science/article/pii/S009286741830850X,159.0,7601154960238900186,Phase transition in postsynaptic densities underlies formation of synaptic complexes and synaptic plasticity,264,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7601154960238900186,7601154960238900186,"M Zeng, Y Shang, Y Araki, T Guo, RL Huganir, M Zhang",10,30078712.0,Reconstituted Postsynaptic Density as a Molecular Platform for Understanding Synapse Formation and Plasticity.,Reconstituted postsynaptic density as a molecular platform for understanding synapse formation and plasticity,"M ZENG,X CHEN,D GUAN,J XU,H WU,P TONG,M ZHANG",14922012015215514771,High,1,1
8783719798375894721,Who's in and who's out—compositional control of biomolecular condensates,"JA Ditlev, LB Case, MK Rosen",https://www.sciencedirect.com/science/article/pii/S0022283618309112,147.0,7601154960238900186,Phase transition in postsynaptic densities underlies formation of synaptic complexes and synaptic plasticity,264,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7601154960238900186,7601154960238900186,"M Zeng, Y Shang, Y Araki, T Guo, RL Huganir, M Zhang",11,30099028.0,Who's In and Who's Out-Compositional Control of Biomolecular Condensates.,Who's in and who's out—compositional control of biomolecular condensates,"JA DITLEV,LB CASE,MK ROSEN",8783719798375894721,High,0,-1
10078598276769547013,Synaptic nanomodules underlie the organization and plasticity of spine synapses,"M Hruska, N Henderson, SJ Le Marchand, H Jafri…",https://www.nature.com/articles/s41593-018-0138-9,131.0,7601154960238900186,Phase transition in postsynaptic densities underlies formation of synaptic complexes and synaptic plasticity,264,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7601154960238900186,7601154960238900186,"M Zeng, Y Shang, Y Araki, T Guo, RL Huganir, M Zhang",12,29686261.0,Synaptic nanomodules underlie the organization and plasticity of spine synapses.,Synaptic nanomodules underlie the organization and plasticity of spine synapses,"M HRUSKA,N HENDERSON,SJ LE MARCHAND,H JAFRI,MB DALVA",10078598276769547013,High,0,0
2281246655446371337,Phosphoregulated FMRP phase separation models activity-dependent translation through bidirectional control of mRNA granule formation,"B Tsang, J Arsenault, RM Vernon…",https://www.pnas.org/content/116/10/4218.short,133.0,7601154960238900186,Phase transition in postsynaptic densities underlies formation of synaptic complexes and synaptic plasticity,264,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7601154960238900186,7601154960238900186,"M Zeng, Y Shang, Y Araki, T Guo, RL Huganir, M Zhang",13,30765518.0,Phosphoregulated FMRP phase separation models activity-dependent translation through bidirectional control of mRNA granule formation.,Phosphoregulated FMRP phase separation models activity-dependent translation through bidirectional control of mRNA granule formation,"B TSANG,J ARSENAULT,RM VERNON,H LIN,N SONENBERG,LY WANG,A BAH,JD FORMAN-KAY",2281246655446371337,High,0,0
14681333917779263288,The wisdom of crowds: regulating cell function through condensed states of living matter,S Alberti,https://journals.biologists.com/jcs/article-abstract/130/17/2789/56420,115.0,7601154960238900186,Phase transition in postsynaptic densities underlies formation of synaptic complexes and synaptic plasticity,264,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7601154960238900186,7601154960238900186,"M Zeng, Y Shang, Y Araki, T Guo, RL Huganir, M Zhang",14,28808090.0,The wisdom of crowds: regulating cell function through condensed states of living matter.,The wisdom of crowds: regulating cell function through condensed states of living matter,S ALBERTI,14681333917779263288,High,0,-1
4762778481842185389,Phase separation and single-chain compactness of charged disordered proteins are strongly correlated,"YH Lin, HS Chan",https://www.sciencedirect.com/science/article/pii/S000634951730437X,113.0,7601154960238900186,Phase transition in postsynaptic densities underlies formation of synaptic complexes and synaptic plasticity,264,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7601154960238900186,7601154960238900186,"M Zeng, Y Shang, Y Araki, T Guo, RL Huganir, M Zhang",15,28483149.0,Phase Separation and Single-Chain Compactness of Charged Disordered Proteins Are Strongly Correlated.,Phase separation and single-chain compactness of charged disordered proteins are strongly correlated,"YH LIN,HS CHAN",4762778481842185389,High,0,-1
1058052564845080706,Phase separation of zonula occludens proteins drives formation of tight junctions,"O Beutel, R Maraspini, K Pombo-Garcia…",https://www.sciencedirect.com/science/article/pii/S0092867419311274,122.0,7601154960238900186,Phase transition in postsynaptic densities underlies formation of synaptic complexes and synaptic plasticity,264,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7601154960238900186,7601154960238900186,"M Zeng, Y Shang, Y Araki, T Guo, RL Huganir, M Zhang",16,31675499.0,Phase Separation of Zonula Occludens Proteins Drives Formation of Tight Junctions.,Phase separation of zonula occludens proteins drives formation of tight junctions,"O BEUTEL,R MARASPINI,K POMBO-GARCÍA,C MARTIN-LEMAITRE,A HONIGMANN",1058052564845080706,High,0,0
9453429773624475047,Differentiation and characterization of excitatory and inhibitory synapses by cryo-electron tomography and correlative microscopy,"CL Tao, YT Liu, R Sun, B Zhang, L Qi…",https://www.jneurosci.org/content/38/6/1493.abstract,104.0,7601154960238900186,Phase transition in postsynaptic densities underlies formation of synaptic complexes and synaptic plasticity,264,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7601154960238900186,7601154960238900186,"M Zeng, Y Shang, Y Araki, T Guo, RL Huganir, M Zhang",17,29311144.0,Differentiation and Characterization of Excitatory and Inhibitory Synapses by Cryo-electron Tomography and Correlative Microscopy.,Differentiation and characterization of excitatory and inhibitory synapses by cryo-electron tomography and correlative microscopy,"CL TAO,YT LIU,R SUN,B ZHANG,L QI,S SHIVAKOTI,CL TIAN,P ZHANG,PM LAU,ZH ZHOU,GQ BI",9453429773624475047,High,0,0
13713010831608411479,Supramolecular organization of NMDA receptors and the postsynaptic density,"RAW Frank, SGN Grant",https://www.sciencedirect.com/science/article/pii/S095943881730082X,87.0,7601154960238900186,Phase transition in postsynaptic densities underlies formation of synaptic complexes and synaptic plasticity,264,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7601154960238900186,7601154960238900186,"M Zeng, Y Shang, Y Araki, T Guo, RL Huganir, M Zhang",18,28577431.0,Supramolecular organization of NMDA receptors and the postsynaptic density.,Supramolecular organization of NMDA receptors and the postsynaptic density,"RA FRANK,SG GRANT",13713010831608411479,High,0,-1
2133208781723782050,"PARylation regulates stress granule dynamics, phase separation, and neurotoxicity of disease-related RNA-binding proteins","Y Duan, A Du, J Gu, G Duan, C Wang, X Gui, Z Ma…",https://www.nature.com/articles/s41422-019-0141-z,102.0,7601154960238900186,Phase transition in postsynaptic densities underlies formation of synaptic complexes and synaptic plasticity,264,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7601154960238900186,7601154960238900186,"M Zeng, Y Shang, Y Araki, T Guo, RL Huganir, M Zhang",19,30728452.0,"PARylation regulates stress granule dynamics, phase separation, and neurotoxicity of disease-related RNA-binding proteins.","PARylation regulates stress granule dynamics, phase separation, and neurotoxicity of disease-related RNA-binding proteins","Y DUAN,A DU,J GU,G DUAN,C WANG,X GUI,Z MA,B QIAN,X DENG,K ZHANG,L SUN,K TIAN,Y ZHANG,H JIANG,C LIU,Y FANG",2133208781723782050,High,0,0
17422161544730430595,MAGUKs: multifaceted synaptic organizers,"S Won, JM Levy, RA Nicoll, KW Roche",https://www.sciencedirect.com/science/article/pii/S0959438817300508,84.0,7601154960238900186,Phase transition in postsynaptic densities underlies formation of synaptic complexes and synaptic plasticity,264,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7601154960238900186,7601154960238900186,"M Zeng, Y Shang, Y Araki, T Guo, RL Huganir, M Zhang",20,28236779.0,MAGUKs: multifaceted synaptic organizers.,MAGUKs: multifaceted synaptic organizers,"S WON,JM LEVY,RA NICOLL,KW ROCHE",17422161544730430595,High,0,-1
11499238290805982838,RIM and RIM-BP form presynaptic active-zone-like condensates via phase separation,"X Wu, Q Cai, Z Shen, X Chen, M Zeng, S Du, M Zhang",https://www.sciencedirect.com/science/article/pii/S1097276518310372,83.0,7601154960238900186,Phase transition in postsynaptic densities underlies formation of synaptic complexes and synaptic plasticity,264,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7601154960238900186,7601154960238900186,"M Zeng, Y Shang, Y Araki, T Guo, RL Huganir, M Zhang",21,30661983.0,RIM and RIM-BP Form Presynaptic Active-Zone-like Condensates via Phase Separation.,RIM and RIM-BP form presynaptic active-zone-like condensates via phase separation,"X WU,Q CAI,Z SHEN,X CHEN,M ZENG,S DU,M ZHANG",11499238290805982838,High,2,1
15000403975745340033,Functional organization of postsynaptic glutamate receptors,"N Scheefhals, HD MacGillavry",https://www.sciencedirect.com/science/article/pii/S1044743117304050,89.0,7601154960238900186,Phase transition in postsynaptic densities underlies formation of synaptic complexes and synaptic plasticity,264,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7601154960238900186,7601154960238900186,"M Zeng, Y Shang, Y Araki, T Guo, RL Huganir, M Zhang",22,29777761.0,Functional organization of postsynaptic glutamate receptors.,Functional organization of postsynaptic glutamate receptors,"N SCHEEFHALS,HD MACGILLAVRY",15000403975745340033,High,0,-1
1045917828968150117,Physico-pathologic mechanisms involved in neurodegeneration: misfolded protein-plasma membrane interactions,"AN Shrivastava, A Aperia, R Melki, A Triller",https://www.sciencedirect.com/science/article/pii/S0896627317304646,74.0,7601154960238900186,Phase transition in postsynaptic densities underlies formation of synaptic complexes and synaptic plasticity,264,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7601154960238900186,7601154960238900186,"M Zeng, Y Shang, Y Araki, T Guo, RL Huganir, M Zhang",23,28683268.0,Physico-Pathologic Mechanisms Involved in Neurodegeneration: Misfolded Protein-Plasma Membrane Interactions.,Physico-pathologic mechanisms involved in neurodegeneration: misfolded protein-plasma membrane interactions,"AN SHRIVASTAVA,A APERIA,R MELKI,A TRILLER",1045917828968150117,High,0,-1
5049090338698900558,Regulation of transmembrane signaling by phase separation,"LB Case, JA Ditlev, MK Rosen",https://www.annualreviews.org/doi/abs/10.1146/annurev-biophys-052118-115534,93.0,7601154960238900186,Phase transition in postsynaptic densities underlies formation of synaptic complexes and synaptic plasticity,264,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7601154960238900186,7601154960238900186,"M Zeng, Y Shang, Y Araki, T Guo, RL Huganir, M Zhang",24,30951647.0,Regulation of Transmembrane Signaling by Phase Separation.,Regulation of transmembrane signaling by phase separation,"LB CASE,JA DITLEV,MK ROSEN",5049090338698900558,High,0,-1
14965538459862330699,Mechanosensation of tight junctions depends on ZO-1 phase separation and flow,"C Schwayer, S Shamipour, K Pranjic-Ferscha…",https://www.sciencedirect.com/science/article/pii/S0092867419311225,82.0,7601154960238900186,Phase transition in postsynaptic densities underlies formation of synaptic complexes and synaptic plasticity,264,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7601154960238900186,7601154960238900186,"M Zeng, Y Shang, Y Araki, T Guo, RL Huganir, M Zhang",25,31675500.0,Mechanosensation of Tight Junctions Depends on ZO-1 Phase Separation and Flow.,Mechanosensation of tight junctions depends on ZO-1 phase separation and flow,"C SCHWAYER,S SHAMIPOUR,K PRANJIC-FERSCHA,A SCHAUER,M BALDA,M TADA,K MATTER,CP HEISENBERG",14965538459862330699,High,0,0
9630336220572633719,Quantifying dynamics in phase-separated condensates using fluorescence recovery after photobleaching,"NO Taylor, MT Wei, HA Stone, CP Brangwynne",https://www.sciencedirect.com/science/article/pii/S0006349519307477,82.0,7601154960238900186,Phase transition in postsynaptic densities underlies formation of synaptic complexes and synaptic plasticity,264,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7601154960238900186,7601154960238900186,"M Zeng, Y Shang, Y Araki, T Guo, RL Huganir, M Zhang",26,31540706.0,Quantifying Dynamics in Phase-Separated Condensates Using Fluorescence Recovery after Photobleaching.,Quantifying dynamics in phase-separated condensates using fluorescence recovery after photobleaching,"NO TAYLOR,MT WEI,HA STONE,CP BRANGWYNNE",9630336220572633719,High,0,-1
17129156066353366107,"Formation of biological condensates via phase separation: Characteristics, analytical methods, and physiological implications","Z Feng, X Chen, X Wu, M Zhang",https://www.jbc.org/article/S0021-9258(20)35029-8/abstract,76.0,7601154960238900186,Phase transition in postsynaptic densities underlies formation of synaptic complexes and synaptic plasticity,264,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7601154960238900186,7601154960238900186,"M Zeng, Y Shang, Y Araki, T Guo, RL Huganir, M Zhang",27,31444270.0,"Formation of biological condensates via phase separation: Characteristics, analytical methods, and physiological implications.","Formation of biological condensates via phase separation: Characteristics, analytical methods, and physiological implications","Z FENG,X CHEN,X WU,M ZHANG",17129156066353366107,High,1,1
9440653888623400605,Phase separation of TAZ compartmentalizes the transcription machinery to promote gene expression,"Y Lu, T Wu, O Gutman, H Lu, Q Zhou, YI Henis…",https://www.nature.com/articles/s41556-020-0485-0,86.0,7601154960238900186,Phase transition in postsynaptic densities underlies formation of synaptic complexes and synaptic plasticity,264,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7601154960238900186,7601154960238900186,"M Zeng, Y Shang, Y Araki, T Guo, RL Huganir, M Zhang",28,32203417.0,Phase separation of TAZ compartmentalizes the transcription machinery to promote gene expression.,Phase separation of TAZ compartmentalizes the transcription machinery to promote gene expression,"Y LU,T WU,O GUTMAN,H LU,Q ZHOU,YI HENIS,K LUO",9440653888623400605,High,0,0
2555626227102374057,Coarse-grained residue-based models of disordered protein condensates: utility and limitations of simple charge pattern parameters,"S Das, AN Amin, YH Lin, HS Chan",https://pubs.rsc.org/en/content/articlehtml/2018/cp/c8cp05095c,61.0,7601154960238900186,Phase transition in postsynaptic densities underlies formation of synaptic complexes and synaptic plasticity,264,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7601154960238900186,7601154960238900186,"M Zeng, Y Shang, Y Araki, T Guo, RL Huganir, M Zhang",29,30397688.0,Coarse-grained residue-based models of disordered protein condensates: utility and limitations of simple charge pattern parameters.,Coarse-grained residue-based models of disordered protein condensates: utility and limitations of simple charge pattern parameters,"S DAS,AN AMIN,YH LIN,HS CHAN",2555626227102374057,High,0,-1
97376704583038540,Charge pattern matching as a 'fuzzy'mode of molecular recognition for the functional phase separations of intrinsically disordered proteins,"YH Lin, JP Brady, JD Forman-Kay…",https://iopscience.iop.org/article/10.1088/1367-2630/aa9369/meta,63.0,7601154960238900186,Phase transition in postsynaptic densities underlies formation of synaptic complexes and synaptic plasticity,264,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7601154960238900186,7601154960238900186,"M Zeng, Y Shang, Y Araki, T Guo, RL Huganir, M Zhang",30,,,Charge pattern matching as a 'fuzzy'mode of molecular recognition for the functional phase separations of intrinsically disordered proteins,,97376704583038540,None,0,0
12636425205556851750,Synaptic vesicle clusters at synapses: a distinct liquid phase?,"D Milovanovic, P De Camilli",https://www.sciencedirect.com/science/article/pii/S0896627317300971,55.0,7601154960238900186,Phase transition in postsynaptic densities underlies formation of synaptic complexes and synaptic plasticity,264,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7601154960238900186,7601154960238900186,"M Zeng, Y Shang, Y Araki, T Guo, RL Huganir, M Zhang",31,29976799.0,A liquid phase of synapsin and lipid vesicles.,Synaptic vesicle clusters at synapses: a distinct liquid phase?,"D MILOVANOVIC,Y WU,X BIAN,P DE CAMILLI",12636425205556851750,Low,0,-1
8461440474667390308,The protein complex crystallography beamline (BL19U1) at the Shanghai Synchrotron Radiation Facility,"WZ Zhang, JC Tang, SS Wang, ZJ Wang…",https://link.springer.com/article/10.1007/s41365-019-0683-2,65.0,7601154960238900186,Phase transition in postsynaptic densities underlies formation of synaptic complexes and synaptic plasticity,264,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7601154960238900186,7601154960238900186,"M Zeng, Y Shang, Y Araki, T Guo, RL Huganir, M Zhang",32,,,The protein complex crystallography beamline (BL19U1) at the Shanghai Synchrotron Radiation Facility,,8461440474667390308,None,0,0
1194323211015626488,Phase separation at the synapse,"X Chen, X Wu, H Wu, M Zhang",https://www.nature.com/articles/s41593-019-0579-9,60.0,7601154960238900186,Phase transition in postsynaptic densities underlies formation of synaptic complexes and synaptic plasticity,264,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7601154960238900186,7601154960238900186,"M Zeng, Y Shang, Y Araki, T Guo, RL Huganir, M Zhang",33,,,Phase separation at the synapse,,1194323211015626488,None,1,1
10535367724002481602,Differential nanoscale topography and functional role of GluN2-NMDA receptor subtypes at glutamatergic synapses,"B Kellermayer, JS Ferreira, J Dupuis, F Levet…",https://www.sciencedirect.com/science/article/pii/S0896627318307852,55.0,7601154960238900186,Phase transition in postsynaptic densities underlies formation of synaptic complexes and synaptic plasticity,264,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7601154960238900186,7601154960238900186,"M Zeng, Y Shang, Y Araki, T Guo, RL Huganir, M Zhang",34,30269991.0,Differential Nanoscale Topography and Functional Role of GluN2-NMDA Receptor Subtypes at Glutamatergic Synapses.,Differential nanoscale topography and functional role of GluN2-NMDA receptor subtypes at glutamatergic synapses,"B KELLERMAYER,JS FERREIRA,J DUPUIS,F LEVET,D GRILLO-BOSCH,L BARD,J LINARÈS-LOYEZ,D BOUCHET,D CHOQUET,DA RUSAKOV,P BON,JB SIBARITA,L COGNET,M SAINLOS,AL CARVALHO,L GROC",10535367724002481602,High,0,0
15444550549880427982,3′ UTR length-dependent control of SynGAP isoform α2 mRNA by FUS and ELAV-like proteins promotes dendritic spine maturation and cognitive function,"S Yokoi, T Udagawa, Y Fujioka, D Honda, H Okado…",https://www.sciencedirect.com/science/article/pii/S2211124717312603,45.0,7601154960238900186,Phase transition in postsynaptic densities underlies formation of synaptic complexes and synaptic plasticity,264,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7601154960238900186,7601154960238900186,"M Zeng, Y Shang, Y Araki, T Guo, RL Huganir, M Zhang",35,28954225.0,3'UTR Length-Dependent Control of SynGAP Isoform α2 mRNA by FUS and ELAV-like Proteins Promotes Dendritic Spine Maturation and Cognitive Function.,3′ UTR length-dependent control of SynGAP isoform α2 mRNA by FUS and ELAV-like proteins promotes dendritic spine maturation and cognitive function,"S YOKOI,T UDAGAWA,Y FUJIOKA,D HONDA,H OKADO,H WATANABE,M KATSUNO,S ISHIGAKI,G SOBUE",15444550549880427982,High,0,0
15012039451235261747,Hierarchical organization and genetically separable subfamilies of PSD 95 postsynaptic supercomplexes,"RAW Frank, F Zhu, NH Komiyama…",https://onlinelibrary.wiley.com/doi/abs/10.1111/jnc.14056,43.0,7601154960238900186,Phase transition in postsynaptic densities underlies formation of synaptic complexes and synaptic plasticity,264,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7601154960238900186,7601154960238900186,"M Zeng, Y Shang, Y Araki, T Guo, RL Huganir, M Zhang",36,,,Hierarchical organization and genetically separable subfamilies of PSD 95 postsynaptic supercomplexes,,15012039451235261747,None,0,0
8796556845039587004,Phase separation-mediated TARP/MAGUK complex condensation and AMPA receptor synaptic transmission,"M Zeng, J Díaz-Alonso, F Ye, X Chen, J Xu, Z Ji…",https://www.sciencedirect.com/science/article/pii/S0896627319306853,57.0,7601154960238900186,Phase transition in postsynaptic densities underlies formation of synaptic complexes and synaptic plasticity,264,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7601154960238900186,7601154960238900186,"M Zeng, Y Shang, Y Araki, T Guo, RL Huganir, M Zhang",37,31492534.0,Phase Separation-Mediated TARP/MAGUK Complex Condensation and AMPA Receptor Synaptic Transmission.,Phase separation-mediated TARP/MAGUK complex condensation and AMPA receptor synaptic transmission,"M ZENG,J DÍAZ-ALONSO,F YE,X CHEN,J XU,Z JI,RA NICOLL,M ZHANG",8796556845039587004,High,1,1
7387046495787040481,Subsynaptic spatial organization as a regulator of synaptic strength and plasticity,"H Chen, AH Tang, TA Blanpied",https://www.sciencedirect.com/science/article/pii/S0959438818300369,45.0,7601154960238900186,Phase transition in postsynaptic densities underlies formation of synaptic complexes and synaptic plasticity,264,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7601154960238900186,7601154960238900186,"M Zeng, Y Shang, Y Araki, T Guo, RL Huganir, M Zhang",38,29902592.0,Subsynaptic spatial organization as a regulator of synaptic strength and plasticity.,Subsynaptic spatial organization as a regulator of synaptic strength and plasticity,"H CHEN,AH TANG,TA BLANPIED",7387046495787040481,High,0,-1
